Z2,Heading,H1,needsInitialization,E1,RollGyr,EGyr3,TW,C2,A1,H2,T,W3a,H3,Z1,D2,Pitch,SmoothW2,C1,SmoothGroundSpeed,M1,EGyr1,TWa,EGyr2,Roll,GPSNACp,headingMag,EGyr0,SmoothW1,HeadingGPS,Ta,E0,GPSHorizontalAccuracy,BaroVerticalSpeed,Z3,E3,GroundSpeed,PitchGPS,slipSkid,turnRate,staticMode,EGPS3,A2,M2,C3,GPSFixQuality,W3,HeadingGyr,W2,GPSAltitudeMSL,BaroPressureAltitude,EGPS0,E2,B2,EGPS2,W2a,headingValid,B3,PitchGyr,M3,D1,A3,EGPS1,D3,B1,GPSVerticalAccuracy,W1,RollGPS,W1a,GPSTrueCourse,WValid,gLoad
-0.177998,0.093268,-0.139041,0.000000,0.108862,8.502496,0.706511,-6795364292.331345,0.048773,-0.141423,0.173816,-6795364292.251345,0.000000,-0.160910,-0.197518,0.636311,9.168682,0.000000,0.041263,0.000000,5508.075867,0.108315,-6795364292.331345,-0.003905,8.544084,8.000000,5.734754,0.699353,0.000000,360.000000,-6795364292.301345,0.699251,56.000000,2.243515,-0.952197,0.706527,0.000000,11.521442,-0.184567,-0.002159,1.000000,0.707083,-0.154424,3665.250854,-1.015683,1.000000,0.000000,0.096038,0.000000,60.039368,380.702911,0.693991,-0.003943,0.762963,-0.005785,0.000000,0.000000,0.663778,9.120646,-7350.798930,-1.326792,-0.984161,0.135561,0.508133,-1.495407,112.000000,0.000000,10.583997,0.000000,0.000000,0.000000,0.951813
-0.178063,0.095115,-0.152852,0.000000,0.109315,8.538706,0.706499,-6795364292.241345,0.048773,-0.141443,0.185800,-6795364292.211345,0.000000,-0.143273,-0.196934,0.636311,9.207382,0.000000,0.041263,0.000000,5568.273417,0.108779,-6795364292.331345,-0.003930,8.579765,8.000000,5.734052,0.699293,0.000000,0.000000,-6795364292.251345,0.699192,54.000000,2.243515,-0.951669,0.706516,0.000000,11.504644,-0.184614,-0.002159,1.000000,0.707084,-0.153528,3635.452067,-1.015683,1.000000,0.000000,0.097891,0.000000,60.039368,380.702911,0.693999,-0.003964,0.788395,-0.005621,0.000000,0.000000,0.643432,9.160481,-7380.497721,-1.326792,-0.983306,0.135518,0.508133,-1.523382,108.000000,0.000000,10.593710,0.000000,0.000000,0.000000,0.951776
-0.177477,0.100872,-0.167615,0.000000,0.109706,8.571086,0.706464,-6795364292.241345,0.048773,-0.140507,0.200401,-6795364292.151345,0.000000,-0.173595,-0.197336,0.636311,9.240281,0.000000,0.041263,0.000000,5733.816681,0.109180,-6795364292.241345,-0.003942,8.610966,8.000000,5.735261,0.699266,0.000000,0.000001,-6795364292.211345,0.699166,54.000000,2.199524,-0.952433,0.706481,0.000000,11.510365,-0.184544,-0.002159,1.000000,0.707083,-0.154302,3598.203583,-1.015683,1.000000,0.000000,0.103732,0.000000,60.039368,380.702911,0.694024,-0.003980,0.801111,-0.005821,0.000000,0.000000,0.694296,9.193939,-7239.428462,-1.326792,-0.984649,0.135391,0.508133,-1.541185,108.000000,0.000000,10.566952,0.000000,0.000000,0.000000,0.951874
-0.177878,0.103845,-0.161547,0.000000,0.110112,8.603832,0.706445,-6795364292.141345,0.048773,-0.141362,0.213270,-6795364292.101345,0.000000,-0.149649,-0.197779,0.636311,9.274648,0.000000,0.041263,0.000000,5583.322805,0.109591,-6795364292.241345,-0.003957,8.643234,8.000000,5.735442,0.699221,0.000000,360.000000,-6795364292.151345,0.699121,54.000000,2.199524,-0.952371,0.706463,0.000000,11.529577,-0.184572,-0.002159,1.000000,0.707082,-0.154790,3575.854492,-1.015683,1.000000,0.000000,0.106751,0.000000,62.335960,380.702911,0.693991,-0.003996,0.788395,-0.005886,0.000000,0.000000,0.645975,9.228618,-7335.949534,-1.326792,-0.984283,0.135560,0.508133,-1.551358,108.000000,0.000000,10.575722,0.000000,0.000000,0.000000,0.951921
-0.177948,0.107081,-0.147857,0.000000,0.110520,8.636838,0.706425,-6795364292.141345,0.048773,-0.141362,0.206841,-6795364292.051345,0.000000,-0.155103,-0.197851,0.636311,9.308969,0.000000,0.041263,0.000000,5620.946274,0.110003,-6795364292.141345,-0.003971,8.675885,8.000000,5.737815,0.699176,0.000000,359.999999,-6795364292.101345,0.699076,54.000000,3.069815,-0.951095,0.706443,0.000000,11.548308,-0.184624,-0.002159,1.000000,0.707082,-0.154790,3441.759949,-1.015683,1.000000,0.000000,0.110040,0.000000,62.335960,380.780548,0.693951,-0.004010,0.770592,-0.005908,0.000000,0.000000,0.663778,9.263258,-7417.621211,-1.326792,-0.982452,0.135765,0.508133,-1.537370,108.000000,0.000000,10.590881,0.000000,0.000000,0.000000,0.951784
-0.177633,0.110982,-0.124573,0.000000,0.110931,8.670772,0.706401,-6795364292.041345,0.048773,-0.140873,0.182317,-6795364292.001345,0.000000,-0.165659,-0.197091,0.636311,9.343275,0.000000,0.041263,0.000000,5568.273417,0.110426,-6795364292.141345,-0.003985,8.709027,8.000000,5.737413,0.699134,0.000000,359.999999,-6795364292.051345,0.699035,54.000000,3.069815,-0.950764,0.706419,0.000000,11.526782,-0.184621,-0.002159,1.000000,0.707083,-0.153651,3590.753886,-1.015683,1.000000,0.000000,0.113986,0.000000,62.335960,380.780548,0.693983,-0.004021,0.742617,-0.005811,0.000000,0.000000,0.676494,9.298708,-7350.798930,-1.326792,-0.982452,0.135600,0.508133,-1.505580,108.000000,0.000000,10.585126,0.000000,0.000000,0.000000,0.951668
-0.177909,0.114211,-0.157986,0.000000,0.111318,8.702147,0.706381,-6795364292.041345,0.048773,-0.141423,0.203000,-6795364291.951345,0.000000,-0.156433,-0.197092,0.636311,9.375867,0.000000,0.041263,0.000000,5508.075867,0.110820,-6795364292.041345,-0.004000,8.740011,8.000000,5.737403,0.699091,0.000000,360.000000,-6795364292.001345,0.698993,54.000000,2.185008,-0.950470,0.706400,0.000000,11.522284,-0.184677,-0.002159,1.000000,0.707084,-0.153996,3531.156311,-1.015683,1.000000,0.000000,0.117261,0.000000,62.335960,380.710449,0.693975,-0.004035,0.801111,-0.005710,0.000000,0.000000,0.659963,9.332059,-7462.169398,-1.326792,-0.982208,0.135644,0.508133,-1.545000,108.000000,0.000000,10.596901,0.000000,0.000000,0.000000,0.951536
-0.177505,0.117335,-0.187573,0.000000,0.111688,8.731642,0.706362,-6795364291.941345,0.048773,-0.140589,0.188713,-6795364291.901345,0.000000,-0.152785,-0.197237,0.636311,9.408292,0.000000,0.041263,0.000000,5598.372192,0.111203,-6795364292.041345,-0.004027,8.768348,8.000000,5.737516,0.699050,0.000000,359.999999,-6795364291.951345,0.698953,54.000000,2.185008,-0.952526,0.706380,0.000000,11.510932,-0.184599,-0.002159,1.000000,0.707083,-0.154057,3575.854492,-1.015683,1.000000,0.000000,0.120412,0.000000,62.335960,380.710449,0.694022,-0.004063,0.829086,-0.005816,0.000000,0.000000,0.661234,9.365380,-7395.347117,-1.326792,-0.985300,0.135402,0.508133,-1.515753,108.000000,0.000000,10.568335,0.000000,0.000000,0.000000,0.951723
-0.177623,0.120571,-0.168965,0.000000,0.112056,8.760937,0.706342,-6795364291.941345,0.048773,-0.140996,0.180797,-6795364291.851345,0.000000,-0.154646,-0.196729,0.636311,9.440014,0.000000,0.041263,0.000000,5598.372192,0.111581,-6795364291.941345,-0.004053,8.797039,8.000000,5.737309,0.699010,0.000000,360.000000,-6795364291.901345,0.698914,54.000000,2.142165,-0.952164,0.706361,0.000000,11.490039,-0.184590,-0.002159,1.000000,0.707084,-0.153325,3598.203583,-1.015683,1.000000,0.000000,0.123685,0.000000,62.335960,380.710449,0.694048,-0.004085,0.789666,-0.005694,0.000000,0.000000,0.663778,9.398179,-7395.347117,-1.326792,-0.983856,0.135270,0.508133,-1.510666,108.000000,0.000000,10.567319,0.000000,0.000000,0.000000,0.951751
-0.177367,0.123799,-0.146391,0.000000,0.112425,8.790766,0.706322,-6795364291.841345,0.048773,-0.140548,0.171379,-6795364291.801345,0.000000,-0.153949,-0.196960,0.636311,9.471578,0.000000,0.041263,0.000000,5613.421580,0.111959,-6795364291.941345,-0.004071,8.826015,8.000000,5.738758,0.698969,0.000000,360.000000,-6795364291.851345,0.698875,52.000000,2.142165,-0.952456,0.706341,0.000000,11.491025,-0.184529,-0.002159,1.000000,0.707083,-0.153854,3486.458130,-1.015683,1.000000,0.000000,0.126954,0.000000,62.335960,380.710449,0.694062,-0.004105,0.765506,-0.005780,0.000000,0.000000,0.661234,9.430369,-7276.551951,-1.326792,-0.984446,0.135197,0.508133,-1.500493,104.000000,0.000000,10.554395,0.000000,0.000000,0.000000,0.951834
